component,removed,original_weight,selected_weight,weight_change
sig_low_storage,False,0.09090909090909091,0.18181818181818182,0.09090909090909091
sig_storage_change,False,0.09090909090909091,0.09090909090909091,0.0
sig_storage_4w_change,False,0.09090909090909091,0.09090909090909091,0.0
sig_low_production_growth,False,0.09090909090909091,0.09090909090909091,0.0
sig_lng_export_growth,False,0.09090909090909091,0.09090909090909091,0.0
sig_consumption_growth,True,0.09090909090909091,0.0,-0.09090909090909091
sig_net_import_supply,False,0.09090909090909091,0.09090909090909091,0.0
sig_production_mom,False,0.09090909090909091,0.09090909090909091,0.0
sig_lng_export_mom,False,0.09090909090909091,0.18181818181818182,0.09090909090909091
sig_consumption_mom,True,0.09090909090909091,0.0,-0.09090909090909091
sig_net_import_change,False,0.09090909090909091,0.09090909090909091,0.0
